* Measurement data measured by REW V5.40 beta 100
* Source: /home/giacomo/DRC/DRC-120.blue/X801.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Sep 23, 2025 9:57:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from /home/giacomo/DRC/DRC-120.blue/X801.wav 131072 samples (2.73 s) of 32-bit Float data at 48 kHz
* Measurement: X801 (revised)
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
128.540029 -0.000 61.9105
128.906240 0.000 62.0972
129.272450 0.000 62.2843
129.638661 0.000 62.4717
130.004872 -0.000 62.6587
130.371083 -0.000 62.8458
130.737294 -0.000 63.0329
131.103505 0.000 63.2202
131.469716 0.000 63.4080
131.835927 0.000 63.5956
132.202138 -0.000 63.7830
132.568349 -0.000 63.9706
132.934560 0.000 64.1581
133.300770 0.000 64.3462
133.666981 0.000 64.5344
134.033192 -0.000 64.7222
134.399403 -0.000 64.9101
134.765614 -0.000 65.0981
135.131825 0.000 65.2863
135.498036 0.000 65.4749
135.864247 0.000 65.6634
136.230458 -0.000 65.8517
136.596669 -0.000 66.0400
136.962880 0.000 66.2285
137.329090 0.000 66.4174
137.695301 0.000 66.6064
138.061512 -0.000 66.7951
138.427723 -0.000 66.9839
138.793934 0.000 67.1727
139.160145 0.000 67.3618
139.526356 0.000 67.5513
139.892567 0.000 67.7406
140.258778 -0.000 67.9297
140.624989 -0.000 68.1190
140.991199 0.000 68.3083
141.357410 0.000 68.4981
141.723621 0.000 68.6879
142.089832 -0.000 68.8775
142.456043 -0.000 69.0672
142.822254 0.000 69.2568
143.188465 0.000 69.4468
143.554676 0.000 69.6372
143.920887 0.000 69.8272
144.287098 -0.000 70.0173
144.653309 -0.000 70.2073
145.019519 0.000 70.3975
145.385730 0.000 70.5882
145.751941 0.000 70.7789
146.118152 -0.000 70.9693
146.484363 -0.000 71.1598
146.850574 0.000 71.3503
147.216785 0.000 71.5412
147.582996 0.000 71.7324
147.949207 0.000 71.9233
148.315418 -0.000 72.1142
148.681629 -0.000 72.3051
149.047839 0.000 72.4961
149.414050 0.000 72.6877
149.780261 0.000 72.8792
150.146472 -0.000 73.0705
150.512683 -0.000 73.2619
150.878894 0.000 73.4532
151.245105 0.000 73.6449
151.611316 0.000 73.8370
151.977527 -0.000 74.0287
