* Measurement data measured by REW V5.40 beta 73
* Source: C:\Users\Ronin\Desktop\XOfix.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Mar 11, 2025 7:20:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from C:\Users\Ronin\Desktop\XOfix.wav 131072 samples (2.73 s) of 64-bit Float data at 48 kHz
* Measurement: XOfix
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
19.851326 -0.000 9.1522
19.995177 -0.000 9.2187
20.140070 -0.000 9.2856
20.286013 -0.000 9.3530
20.433014 -0.000 9.4209
20.581080 -0.000 9.4893
20.730219 -0.000 9.5582
20.880439 -0.000 9.6276
21.031747 -0.000 9.6976
21.184152 -0.000 9.7680
21.337661 -0.000 9.8389
21.492282 -0.000 9.9104
21.648024 -0.000 9.9823
21.804895 -0.000 10.0548
21.962902 -0.000 10.1279
22.122054 -0.000 10.2014
22.282360 -0.000 10.2755
22.443827 -0.000 10.3502
22.606464 -0.000 10.4253
22.770280 -0.000 10.5011
22.935283 -0.000 10.5774
23.101481 -0.000 10.6542
23.268884 -0.000 10.7316
23.437500 -0.000 10.8096
23.607338 -0.000 10.8881
23.778406 -0.000 10.9672
23.950714 -0.000 11.0469
24.124271 -0.000 11.1272
24.299086 -0.000 11.2080
24.475167 -0.000 11.2894
24.652524 -0.000 11.3715
24.831166 -0.000 11.4541
25.011103 -0.000 11.5374
25.192344 -0.000 11.6212
25.374898 -0.000 11.7057
25.558775 -0.000 11.7907
25.743984 -0.000 11.8764
25.930536 -0.000 11.9628
26.118439 -0.000 12.0497
26.307704 -0.000 12.1373
26.498341 -0.000 12.2255
26.690359 -0.000 12.3144
26.883768 -0.000 12.4039
27.078579 -0.000 12.4941
27.274801 -0.000 12.5850
27.472446 -0.000 12.6765
27.671522 -0.000 12.7687
27.872042 -0.000 12.8615
28.074014 -0.000 12.9550
28.277450 -0.000 13.0492
28.482360 -0.000 13.1442
28.688755 -0.000 13.2398
28.896645 -0.000 13.3360
29.106042 -0.000 13.4331
29.316957 -0.000 13.5308
29.529400 -0.000 13.6292
29.743382 -0.000 13.7283
29.958915 -0.000 13.8282
30.176009 -0.000 13.9288
30.394677 -0.000 14.0302
30.614929 -0.000 14.1323
30.836778 -0.000 14.2351
31.060234 -0.000 14.3387
31.285309 -0.000 14.4431
31.512015 -0.000 14.5482
31.740364 -0.000 14.6541
31.970368 -0.000 14.7607
32.202039 -0.000 14.8682
32.435388 -0.000 14.9764
32.670428 -0.000 15.0855
32.907171 -0.000 15.1953
33.145630 -0.000 15.3059
33.385817 -0.000 15.4174
33.627745 -0.000 15.5297
33.871425 -0.000 15.6428
34.116871 -0.000 15.7567
34.364096 -0.000 15.8715
34.613113 -0.000 15.9871
34.863934 -0.000 16.1036
35.116572 -0.000 16.2209
35.371041 -0.000 16.3391
35.627354 -0.000 16.4581
35.885525 -0.000 16.5781
36.145566 -0.000 16.6989
36.407492 -0.000 16.8206
36.671316 -0.000 16.9432
36.937051 -0.000 17.0667
37.204712 -0.000 17.1911
37.474313 -0.000 17.3164
37.745867 -0.000 17.4427
38.019389 -0.000 17.5699
38.294893 -0.000 17.6980
38.572394 -0.000 17.8271
38.851905 -0.000 17.9571
39.133442 -0.000 18.0881
39.417019 -0.000 18.2200
39.702651 -0.000 18.3530
39.990353 -0.000 18.4869
40.280140 -0.000 18.6218
40.572026 -0.000 18.7577
40.866028 -0.000 18.8946
41.162160 -0.000 19.0325
41.460438 -0.000 19.1714
41.760877 -0.000 19.3114
42.063494 -0.000 19.4524
42.368303 -0.000 19.5944
42.675322 -0.000 19.7375
42.984565 -0.000 19.8817
43.296048 -0.000 20.0269
43.609789 -0.000 20.1732
43.925804 -0.000 20.3206
44.244108 -0.000 20.4691
44.564719 -0.000 20.6187
44.887654 -0.000 20.7694
45.212928 -0.000 20.9212
45.540560 -0.000 21.0742
45.870565 -0.000 21.2282
46.202962 -0.000 21.3835
46.537768 -0.000 21.5399
46.875000 -0.000 21.6974
47.214676 -0.000 21.8561
47.556813 -0.000 22.0160
47.901429 -0.000 22.1771
48.248542 -0.000 22.3394
48.598171 -0.000 22.5029
48.950334 -0.000 22.6676
49.305048 -0.000 22.8336
49.662333 -0.000 23.0008
50.022206 -0.000 23.1692
50.384688 -0.000 23.3389
50.749796 -0.000 23.5099
51.117550 -0.000 23.6821
51.487969 -0.000 23.8557
51.861072 -0.000 24.0305
52.236879 -0.000 24.2066
52.615409 -0.000 24.3841
52.996681 -0.000 24.5629
53.380717 -0.000 24.7430
53.767536 -0.000 24.9245
54.157158 -0.000 25.1073
54.549603 -0.000 25.2915
54.944892 -0.000 25.4771
55.343045 -0.000 25.6641
55.744084 -0.000 25.8525
56.148028 -0.000 26.0423
56.554900 -0.000 26.2336
56.964720 -0.000 26.4263
57.377510 -0.000 26.6204
57.793291 -0.000 26.8160
58.212085 -0.000 27.0131
58.633914 -0.000 27.2116
59.058799 -0.000 27.4117
59.486764 -0.000 27.6133
59.917829 -0.000 27.8164
60.352019 -0.000 28.0210
60.789354 -0.000 28.2272
61.229859 -0.000 28.4349
61.673556 -0.000 28.6442
62.120468 -0.000 28.8551
62.570618 -0.000 29.0676
63.024031 -0.000 29.2817
63.480729 -0.000 29.4974
63.940736 -0.000 29.7148
64.404077 -0.000 29.9338
64.870776 -0.000 30.1545
65.340856 -0.000 30.3769
65.814343 -0.000 30.6010
66.291261 -0.000 30.8267
66.771635 -0.000 31.0542
67.255489 -0.000 31.2834
67.742850 -0.000 31.5144
68.233743 -0.000 31.7472
68.728193 -0.000 31.9817
69.226226 -0.000 32.2180
69.727867 -0.000 32.4562
70.233144 -0.000 32.6961
70.742083 -0.000 32.9379
71.254709 -0.000 33.1816
71.771050 -0.000 33.4272
72.291132 -0.000 33.6746
72.814984 -0.000 33.9239
73.342631 -0.000 34.1752
73.874102 -0.000 34.4284
74.409424 -0.000 34.6835
74.948626 -0.000 34.9407
75.491734 -0.000 35.1998
76.038779 -0.000 35.4609
76.589787 -0.000 35.7240
77.144788 -0.000 35.9892
77.703811 -0.000 36.2565
78.266885 -0.000 36.5258
78.834039 -0.000 36.7972
79.405303 -0.000 37.0707
79.980706 -0.000 37.3463
80.560280 -0.000 37.6241
81.144053 -0.000 37.9040
81.732056 -0.000 38.1861
82.324320 -0.000 38.4704
82.920876 -0.000 38.7569
83.521755 -0.000 39.0456
84.126988 -0.000 39.3365
84.736607 -0.000 39.6296
85.350643 -0.000 39.9250
85.969129 -0.000 40.2225
86.592097 -0.000 40.5224
87.219579 -0.000 40.8245
87.851608 -0.000 41.1288
88.488217 -0.000 41.4354
89.129439 -0.000 41.7442
89.775308 -0.000 42.0553
90.425856 -0.000 42.3686
91.081119 -0.000 42.6841
91.741131 -0.000 43.0018
92.405925 -0.000 43.3217
93.075536 -0.000 43.6438
93.750000 -0.000 43.9680
94.429351 -0.000 44.2944
95.113625 -0.000 44.6229
95.802858 -0.000 44.9534
96.497085 -0.000 45.2861
97.196342 -0.000 45.6207
97.900667 -0.000 45.9574
98.610096 -0.000 46.2961
99.324665 -0.000 46.6368
100.044413 -0.000 46.9794
100.769376 -0.000 47.3239
101.499592 -0.000 47.6719
102.235100 -0.000 48.0233
102.975938 -0.000 48.3780
103.722144 -0.000 48.7362
104.473757 -0.000 49.0977
105.230817 -0.000 49.4626
105.993363 -0.000 49.8308
106.761435 -0.000 50.2025
107.535072 -0.000 50.5775
108.314315 -0.000 50.9558
109.099206 -0.000 51.3376
109.889783 -0.000 51.7227
110.686090 -0.000 52.1113
111.488167 -0.000 52.5032
112.296056 -0.000 52.8985
113.109800 -0.000 53.2972
113.929440 -0.000 53.6993
114.755020 -0.000 54.1049
115.586582 -0.000 54.5139
116.424170 -0.000 54.9264
117.267827 -0.000 55.3423
118.117598 -0.000 55.7617
118.973527 -0.000 56.1847
119.835658 -0.000 56.6112
120.704037 -0.000 57.0412
121.578708 -0.000 57.4748
122.459718 -0.000 57.9121
123.347111 -0.000 58.3530
124.240935 -0.000 58.7975
125.141236 -0.000 59.2457
126.048061 -0.000 59.6977
126.961458 -0.000 60.1534
127.881473 -0.000 60.6129
128.808154 -0.000 61.0761
129.741551 -0.000 61.5433
130.681712 -0.000 62.0143
131.628686 -0.000 62.4892
132.582521 -0.000 62.9681
133.543269 -0.000 63.4509
134.510979 -0.000 63.9378
135.485701 -0.000 64.4287
136.467486 -0.000 64.9237
137.456386 -0.000 65.4228
138.452451 -0.000 65.9261
139.455735 -0.000 66.4336
140.466288 -0.000 66.9453
141.484165 -0.000 67.4613
142.509418 -0.000 67.9816
143.542100 -0.000 68.5062
144.582265 -0.000 69.0353
145.629968 -0.000 69.5687
146.685262 -0.000 70.1067
147.748204 -0.000 70.6491
148.818849 -0.000 71.1962
149.897251 -0.000 71.7477
150.983469 -0.000 72.3040
152.077557 -0.000 72.8649
153.179574 -0.000 73.4305
154.289576 -0.000 74.0009
155.407622 -0.000 74.5760
156.533770 -0.000 75.1561
157.668078 -0.000 75.7410
158.810606 -0.000 76.3308
159.961413 -0.000 76.9256
161.120559 -0.000 77.5254
162.288105 -0.000 78.1303
163.464112 -0.000 78.7403
164.648640 -0.000 79.3554
165.841752 -0.000 79.9757
167.043510 -0.000 80.6012
168.253976 -0.000 81.2320
169.473213 -0.000 81.8681
170.701286 -0.000 82.5096
171.938258 -0.000 83.1565
173.184194 -0.000 83.8089
174.439158 -0.000 84.4667
175.703216 -0.000 85.1301
176.976434 -0.000 85.7990
178.258878 -0.000 86.4736
179.550615 -0.000 87.1539
180.851713 -0.000 87.8399
182.162239 -0.000 88.5316
183.482262 -0.000 89.2292
184.811850 -0.000 89.9325
186.151073 -0.000 90.6418
187.500000 -0.000 91.3570
188.858702 -0.000 92.0782
190.227250 -0.000 92.8054
191.605715 -0.000 93.5386
192.994169 -0.000 94.2780
194.392685 -0.000 95.0235
195.801334 -0.000 95.7752
197.220191 -0.000 96.5331
198.649330 -0.000 97.2972
200.088825 -0.000 98.0677
