* Measurement data measured by REW V5.40 beta 121
* Source: EQ window target shape
* Format: 
* Dated: Aug 12, 2026, 11:32:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Target LRrms+phavg
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 2.5 Hz
*
* Freq(Hz) SPL(dB)
113.137085 67.420
113.956923 67.412
114.782702 67.404
115.614465 67.397
116.452255 67.393
117.296116 67.389
118.146092 67.386
119.002227 67.383
119.864566 67.383
120.733154 67.384
121.608036 67.384
122.489258 67.386
123.376866 67.389
124.270906 67.394
125.171424 67.398
126.078468 67.403
126.992084 67.410
127.912321 67.418
128.839227 67.427
129.772849 67.436
130.713236 67.446
131.660438 67.458
132.614504 67.470
133.575483 67.482
134.543426 67.496
135.518384 67.510
136.500406 67.524
137.489544 67.539
138.485850 67.556
139.489375 67.573
140.500173 67.590
141.518295 67.608
142.543795 67.627
143.576726 67.646
144.617142 67.665
145.665098 67.685
146.720647 67.706
147.783845 67.727
148.854748 67.748
149.933411 67.770
151.019890 67.792
152.114242 67.814
153.216525 67.836
154.326795 67.859
155.445111 67.882
156.571530 67.906
157.706112 67.929
158.848915 67.952
160.000000 67.976
161.159426 67.999
162.327254 68.023
163.503544 68.047
164.688358 68.070
165.881758 68.094
167.083805 68.118
168.294563 68.142
169.514095 68.165
170.742464 68.189
171.979734 68.212
173.225970 68.236
174.481237 68.259
175.745600 68.282
177.019125 68.304
178.301879 68.327
179.593928 68.349
180.895339 68.371
182.206182 68.392
183.526523 68.414
184.856431 68.435
186.195977 68.456
187.545230 68.477
188.904260 68.498
190.273138 68.517
191.651936 68.537
193.040725 68.556
194.439578 68.576
195.848567 68.594
197.267766 68.612
198.697250 68.631
200.137092 68.648
201.587368 68.665
203.048153 68.682
204.519524 68.699
206.001557 68.715
207.494329 68.730
208.997918 68.745
210.512403 68.760
212.037863 68.775
213.574377 68.789
215.122025 68.803
216.680888 68.816
218.251047 68.829
219.832584 68.842
221.425581 68.854
223.030122 68.866
224.646290 68.878
226.274170 68.889
227.913846 68.900
229.565404 68.911
231.228929 68.921
232.904509 68.930
234.592231 68.940
236.292183 68.949
238.004454 68.958
239.729132 68.967
241.466308 68.975
243.216073 68.983
244.978517 68.991
246.753732 68.998
248.541811 69.005
250.342848 69.012
252.156935 69.019
253.984168 69.025
255.824642 69.031
257.678453 69.037
259.545697 69.042
261.426473 69.048
263.320877 69.053
265.229008 69.058
267.150967 69.062
269.086853 69.067
271.036767 69.071
273.000811 69.075
274.979088 69.079
276.971700 69.083
278.978751 69.086
281.000346 69.090
283.036590 69.093
285.087590 69.096
287.153452 69.098
289.234284 69.101
291.330195 69.104
293.441294 69.106
295.567690 69.108
297.709496 69.110
299.866821 69.112
302.039780 69.115
304.228485 69.117
306.433050 69.118
308.653590 69.120
310.890221 69.122
313.143060 69.123
315.412224 69.125
317.697831 69.126
320.000000 69.127
322.318852 69.128
324.654507 69.129
327.007088 69.130
329.376716 69.131
331.763515 69.132
334.167610 69.133
336.589127 69.134
339.028190 69.135
341.484928 69.135
343.959469 69.136
346.451941 69.137
348.962474 69.137
351.491200 69.138
354.038251 69.138
356.603758 69.139
359.187855 69.139
361.790679 69.139
364.412363 69.140
367.053045 69.140
369.712863 69.140
372.391955 69.141
375.090460 69.141
377.808521 69.142
380.546277 69.142
383.303872 69.142
386.081450 69.142
388.879155 69.142
391.697134 69.142
394.535533 69.142
397.394500 69.142
400.274184 69.143
403.174736 69.143
406.096306 69.143
409.039048 69.143
412.003113 69.143
414.988657 69.143
417.995836 69.143
421.024807 69.143
424.075726 69.144
427.148753 69.144
430.244049 69.144
433.361775 69.144
436.502093 69.144
439.665167 69.144
442.851162 69.144
446.060244 69.144
449.292581 69.144
452.548340 69.144
455.827692 69.144
459.130807 69.144
462.457858 69.144
465.809019 69.144
469.184463 69.144
472.584367 69.144
476.008908 69.144
479.458265 69.144
482.932617 69.144
486.432146 69.144
489.957033 69.144
493.507464 69.144
497.083623 69.144
500.685695 69.144
504.313870 69.143
507.968337 69.143
511.649285 69.143
515.356906 69.143
519.091395 69.143
522.852945 69.143
526.641753 69.143
530.458016 69.143
534.301934 69.143
538.173706 69.143
542.073534 69.143
546.001623 69.143
549.958175 69.143
553.943399 69.143
557.957501 69.143
562.000691 69.143
566.073180 69.143
570.175180 69.143
574.306904 69.143
578.468569 69.143
582.660390 69.143
586.882588 69.143
591.135381 69.143
595.418991 69.143
599.733643 69.143
604.079560 69.143
608.456970 69.143
612.866100 69.143
617.307180 69.143
621.780442 69.143
626.286120 69.143
630.824447 69.143
635.395661 69.143
640.000000 69.143
644.637704 69.143
649.309014 69.143
654.014175 69.143
658.753431 69.143
663.527030 69.143
668.335221 69.143
673.178253 69.143
678.056380 69.143
682.969856 69.143
687.918938 69.143
692.903882 69.143
697.924949 69.143
702.982401 69.143
708.076501 69.143
713.207515 69.143
718.375711 69.143
723.581357 69.143
728.824726 69.143
734.106091 69.143
739.425726 69.143
744.783910 69.143
750.180921 69.143
755.617041 69.143
761.092554 69.143
766.607744 69.143
772.162900 69.143
777.758310 69.143
783.394268 69.143
789.071066 69.143
794.789000 69.143
800.548368 69.143
806.349472 69.143
812.192613 69.143
818.078095 69.143
824.006226 69.143
829.977315 69.143
835.991673 69.143
842.049613 69.143
848.151452 69.143
854.297507 69.143
860.488099 69.143
866.723550 69.143
873.004186 69.143
879.330334 69.143
885.702324 69.143
892.120489 69.143
898.585161 69.143
905.096680 69.143
911.655384 69.143
918.261614 69.143
924.915716 69.143
931.618037 69.143
938.368925 69.143
945.168733 69.143
952.017816 69.143
958.916529 69.143
965.865234 69.143
972.864291 69.143
979.914067 69.143
987.014928 69.143
994.167245 69.143
1001.371391 69.143
1008.627741 69.143
1015.936673 69.143
1023.298569 69.143
1030.713812 69.143
1038.182790 69.143
1045.705890 69.143
1053.283506 69.143
1060.916032 69.143
1068.603867 69.142
1076.347412 69.142
1084.147069 69.142
1092.003245 69.142
1099.916351 69.142
1107.886798 69.142
1115.915003 69.142
1124.001383 69.142
1132.146360 69.142
1140.350359 69.142
1148.613808 69.142
1156.937137 69.142
1165.320781 69.142
1173.765175 69.142
1182.270762 69.142
1190.837983 69.142
1199.467286 69.142
1208.159120 69.142
1216.913939 69.142
1225.732199 69.142
1234.614360 69.142
1243.560885 69.142
1252.572239 69.142
1261.648894 69.142
1270.791322 69.142
1280.000000 69.142
1289.275408 69.142
1298.618029 69.142
1308.028350 69.142
1317.506863 69.142
1327.054061 69.142
1336.670442 69.142
1346.356507 69.142
1356.112761 69.142
1365.939713 69.142
1375.837875 69.142
1385.807763 69.142
1395.849898 69.142
1405.964802 69.142
1416.153002 69.142
1426.415031 69.142
1436.751422 69.142
1447.162715 69.142
1457.649452 69.142
1468.212181 69.142
1478.851452 69.142
1489.567819 69.142
1500.361842 69.142
1511.234082 69.142
1522.185107 69.142
1533.215488 69.142
1544.325799 69.142
1555.516621 69.142
1566.788535 69.142
1578.142131 69.142
1589.577999 69.142
1601.096737 69.142
1612.698944 69.142
1624.385225 69.142
1636.156190 69.142
1648.012452 69.142
1659.954630 69.142
1671.983345 69.142
1684.099226 69.142
1696.302903 69.142
1708.595013 69.142
1720.976197 69.142
1733.447100 69.142
1746.008372 69.142
1758.660669 69.142
1771.404649 69.142
1784.240977 69.142
1797.170323 69.142
1810.193360 69.142
1823.310767 69.142
1836.523229 69.142
1849.831433 69.142
1863.236074 69.142
1876.737851 69.142
1890.337467 69.142
1904.035631 69.142
1917.833058 69.142
1931.730467 69.142
1945.728583 69.142
1959.828134 69.142
1974.029857 69.142
1988.334491 69.142
2002.742782 69.142
2017.255482 69.142
2031.873347 69.142
2046.597138 69.142
2061.427625 69.142
2076.365579 69.142
2091.411780 69.142
2106.567012 69.142
2121.832065 69.142
2137.207735 69.142
2152.694823 69.142
2168.294137 69.142
2184.006490 69.142
2199.832702 69.142
2215.773596 69.142
2231.830005 69.142
2248.002765 69.142
2264.292720 69.142
2280.700718 69.142
2297.227616 69.142
2313.874274 69.142
2330.641561 69.142
2347.530351 69.142
2364.541523 69.142
2381.675966 69.142
2398.934572 69.142
2416.318240 69.142
2433.827878 69.142
2451.464399 69.142
2469.228720 69.142
2487.121769 69.142
2505.144479 69.142
2523.297789 69.142
2541.582644 69.142
2560.000000 69.142
2578.550815 69.142
2597.236057 69.142
2616.056701 69.142
2635.013726 69.142
2654.108121 69.142
2673.340883 69.142
2692.713013 69.142
2712.225522 69.142
2731.879426 69.142
2751.675750 69.142
2771.615527 69.142
2791.699796 69.142
2811.929603 69.142
2832.306004 69.142
2852.830061 69.142
2873.502844 69.142
2894.325430 69.142
2915.298905 69.142
2936.424363 69.142
2957.702904 69.142
2979.135638 69.142
3000.723683 69.142
3022.468164 69.142
3044.370214 69.142
3066.430976 69.142
3088.651599 69.142
3111.033242 69.142
3133.577071 69.142
3156.284262 69.142
3179.155999 69.142
3202.193474 69.142
3225.397888 69.142
3248.770450 69.142
3272.312380 69.142
3296.024905 69.142
3319.909260 69.142
3343.966691 69.142
3368.198452 69.142
3392.605806 69.142
3417.190027 69.142
3441.952394 69.142
3466.894200 69.142
3492.016745 69.142
3517.321337 69.142
3542.809298 69.142
3568.481954 69.142
3594.340646 69.142
3620.386720 69.142
3646.621534 69.142
3673.046457 69.142
3699.662866 69.142
3726.472148 69.142
