* Measurement data measured by REW V5.30.9
* Source: /home/giacomo/DRC/DRC-120/X801.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Nov 22, 2024 2:51:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from /home/giacomo/DRC/DRC-120/X801.wav 131071 samples (2.73 s) of 64-bit Float data at 48 kHz
* Measurement: X801
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
311.645482 0.000 172.0145
312.011693 0.000 172.2137
312.377904 0.000 172.4128
312.744115 0.000 172.6117
313.110326 0.000 172.8105
313.476537 0.000 173.0091
313.842748 0.000 173.2076
314.208959 0.000 173.4060
314.575170 0.000 173.6042
314.941381 0.000 173.8022
315.307592 0.000 174.0001
315.673802 0.000 174.1979
316.040013 0.000 174.3955
316.406224 0.000 174.5929
316.772435 0.000 174.7902
317.138646 0.000 174.9874
317.504857 0.000 175.1844
317.871068 0.000 175.3813
318.237279 0.000 175.5780
318.603490 0.000 175.7745
318.969701 0.000 175.9709
319.335912 0.000 176.1671
319.702122 0.000 176.3632
320.068333 0.000 176.5592
320.434544 0.000 176.7550
320.800755 0.000 176.9506
321.166966 0.000 177.1461
321.533177 0.000 177.3414
321.899388 0.000 177.5365
322.265599 0.000 177.7316
322.631810 0.000 177.9264
322.998021 0.000 178.1211
323.364232 0.000 178.3156
323.730442 0.000 178.5100
324.096653 0.000 178.7043
324.462864 0.000 178.8983
324.829075 0.000 179.0922
325.195286 0.000 179.2860
325.561497 0.000 179.4796
325.927708 0.000 179.6730
326.293919 0.000 179.8663
326.660130 0.000 -179.9406
327.026341 0.000 -179.7477
327.392552 0.000 -179.5549
327.758762 0.000 -179.3622
328.124973 0.000 -179.1698
328.491184 0.000 -178.9775
