* Measurement data measured by REW V5.30.9
* Source: /home/giacomo/DRC/DRC-120/X801.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Nov 22, 2024 2:51:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from /home/giacomo/DRC/DRC-120/X801.wav 131071 samples (2.73 s) of 64-bit Float data at 48 kHz
* Measurement: X801
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
224.853497 0.000 121.9542
225.219708 0.000 122.1714
225.585919 0.000 122.3887
225.952130 0.000 122.6060
226.318341 0.000 122.8233
226.684552 0.000 123.0405
227.050763 0.000 123.2578
227.416974 0.000 123.4750
227.783185 0.000 123.6923
228.149396 0.000 123.9096
228.515606 0.000 124.1268
228.881817 0.000 124.3440
229.248028 0.000 124.5613
229.614239 0.000 124.7785
229.980450 0.000 124.9957
230.346661 0.000 125.2130
230.712872 0.000 125.4302
231.079083 0.000 125.6473
231.445294 0.000 125.8645
231.811505 0.000 126.0817
232.177716 0.000 126.2989
232.543926 0.000 126.5160
232.910137 0.000 126.7332
233.276348 0.000 126.9503
233.642559 0.000 127.1674
234.008770 0.000 127.3845
234.374981 0.000 127.6016
234.741192 0.000 127.8186
235.107403 0.000 128.0357
235.473614 0.000 128.2527
235.839825 0.000 128.4697
236.206035 0.000 128.6867
236.572246 0.000 128.9037
236.938457 0.000 129.1207
237.304668 0.000 129.3376
237.670879 0.000 129.5545
238.037090 0.000 129.7714
238.403301 0.000 129.9883
238.769512 0.000 130.2051
239.135723 0.000 130.4220
239.501934 0.000 130.6387
239.868145 0.000 130.8555
240.234355 0.000 131.0723
240.600566 0.000 131.2890
240.966777 0.000 131.5057
241.332988 0.000 131.7223
241.699199 0.000 131.9390
242.065410 0.000 132.1556
242.431621 0.000 132.3722
242.797832 0.000 132.5887
243.164043 0.000 132.8052
243.530254 0.000 133.0217
243.896465 0.000 133.2382
244.262675 0.000 133.4546
244.628886 0.000 133.6710
244.995097 0.000 133.8873
245.361308 0.000 134.1036
245.727519 0.000 134.3199
246.093730 0.000 134.5361
246.459941 0.000 134.7523
246.826152 0.000 134.9685
247.192363 0.000 135.1846
247.558574 0.000 135.4007
247.924785 0.000 135.6168
248.290995 0.000 135.8328
248.657206 0.000 136.0487
249.023417 0.000 136.2647
249.389628 0.000 136.4805
249.755839 0.000 136.6964
250.122050 0.000 136.9122
250.488261 0.000 137.1279
250.854472 0.000 137.3436
251.220683 0.000 137.5593
251.586894 0.000 137.7749
251.953105 0.000 137.9904
252.319315 0.000 138.2059
252.685526 0.000 138.4214
253.051737 0.000 138.6368
253.417948 0.000 138.8522
253.784159 0.000 139.0675
254.150370 0.000 139.2828
254.516581 0.000 139.4980
254.882792 0.000 139.7131
255.249003 0.000 139.9282
255.615214 0.000 140.1433
255.981425 0.000 140.3583
256.347635 0.000 140.5732
256.713846 0.000 140.7881
257.080057 0.000 141.0029
257.446268 0.000 141.2177
257.812479 0.000 141.4324
258.178690 0.000 141.6470
258.544901 0.000 141.8616
258.911112 0.000 142.0761
259.277323 0.000 142.2906
259.643534 0.000 142.5050
260.009744 0.000 142.7194
260.375955 0.000 142.9336
260.742166 0.000 143.1479
261.108377 0.000 143.3620
261.474588 0.000 143.5761
261.840799 0.000 143.7901
262.207010 0.000 144.0041
262.573221 0.000 144.2180
262.939432 0.000 144.4318
263.305643 0.000 144.6455
263.671854 0.000 144.8592
264.038064 0.000 145.0728
264.404275 0.000 145.2864
264.770486 0.000 145.4998
265.136697 0.000 145.7132
265.502908 0.000 145.9266
265.869119 0.000 146.1398
266.235330 0.000 146.3530
266.601541 0.000 146.5661
266.967752 0.000 146.7791
267.333963 0.000 146.9921
267.700174 0.000 147.2050
268.066384 0.000 147.4178
268.432595 0.000 147.6305
268.798806 0.000 147.8431
269.165017 0.000 148.0557
269.531228 0.000 148.2682
269.897439 0.000 148.4806
270.263650 0.000 148.6929
270.629861 0.000 148.9052
270.996072 0.000 149.1173
271.362283 0.000 149.3294
271.728494 0.000 149.5414
272.094704 0.000 149.7533
272.460915 0.000 149.9651
272.827126 0.000 150.1769
273.193337 0.000 150.3885
273.559548 0.000 150.6001
273.925759 0.000 150.8116
274.291970 0.000 151.0230
274.658181 0.000 151.2343
275.024392 0.000 151.4455
275.390603 0.000 151.6566
275.756814 0.000 151.8677
276.123024 0.000 152.0786
276.489235 0.000 152.2895
276.855446 0.000 152.5002
277.221657 0.000 152.7109
277.587868 0.000 152.9215
277.954079 0.000 153.1320
278.320290 0.000 153.3423
278.686501 0.000 153.5526
279.052712 0.000 153.7628
279.418923 0.000 153.9729
279.785134 0.000 154.1829
280.151344 0.000 154.3928
280.517555 0.000 154.6026
280.883766 0.000 154.8123
281.249977 0.000 155.0219
281.616188 0.000 155.2314
281.982399 0.000 155.4408
282.348610 0.000 155.6501
282.714821 0.000 155.8593
283.081032 0.000 156.0684
283.447243 0.000 156.2774
283.813453 0.000 156.4863
284.179664 0.000 156.6951
284.545875 0.000 156.9037
284.912086 0.000 157.1124
285.278297 0.000 157.3208
285.644508 0.000 157.5292
286.010719 0.000 157.7374
286.376930 0.000 157.9456
286.743141 0.000 158.1536
287.109352 0.000 158.3615
287.475563 0.000 158.5693
287.841773 0.000 158.7770
288.207984 0.000 158.9846
288.574195 0.000 159.1921
288.940406 0.000 159.3995
289.306617 0.000 159.6068
289.672828 0.000 159.8139
290.039039 0.000 160.0209
290.405250 0.000 160.2278
290.771461 0.000 160.4346
291.137672 0.000 160.6413
291.503883 0.000 160.8479
291.870093 0.000 161.0543
292.236304 0.000 161.2607
292.602515 0.000 161.4669
292.968726 0.000 161.6730
293.334937 0.000 161.8790
293.701148 0.000 162.0848
294.067359 0.000 162.2905
294.433570 0.000 162.4962
294.799781 0.000 162.7017
295.165992 0.000 162.9070
295.532203 0.000 163.1123
295.898413 0.000 163.3174
296.264624 0.000 163.5224
296.630835 0.000 163.7273
296.997046 0.000 163.9321
297.363257 0.000 164.1367
297.729468 0.000 164.3412
298.095679 0.000 164.5456
298.461890 0.000 164.7498
298.828101 0.000 164.9540
299.194312 0.000 165.1580
299.560523 0.000 165.3618
299.926733 0.000 165.5656
300.292944 0.000 165.7692
300.659155 0.000 165.9727
301.025366 0.000 166.1760
301.391577 0.000 166.3793
301.757788 0.000 166.5824
302.123999 0.000 166.7853
302.490210 0.000 166.9881
302.856421 0.000 167.1908
303.222632 0.000 167.3934
303.588843 0.000 167.5958
303.955053 0.000 167.7981
304.321264 0.000 168.0003
304.687475 0.000 168.2023
305.053686 0.000 168.4042
305.419897 0.000 168.6059
305.786108 0.000 168.8075
306.152319 0.000 169.0090
306.518530 0.000 169.2104
306.884741 0.000 169.4116
307.250952 0.000 169.6127
307.617162 0.000 169.8136
307.983373 0.000 170.0144
308.349584 0.000 170.2150
308.715795 0.000 170.4155
309.082006 0.000 170.6159
309.448217 0.000 170.8161
309.814428 0.000 171.0162
310.180639 0.000 171.2161
310.546850 0.000 171.4159
310.913061 0.000 171.6156
311.279272 0.000 171.8151
