* Measurement data measured by REW V5.40 beta 121
* Source: EQ window target shape
* Format: 
* Dated: Aug 12, 2026, 3:15:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Target LRrms+phavg
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 2.5 Hz
*
* Freq(Hz) SPL(dB)
566.073180 69.175
570.175180 69.175
574.306904 69.175
578.468569 69.175
582.660390 69.175
586.882588 69.175
591.135381 69.175
595.418991 69.175
599.733643 69.175
604.079560 69.175
608.456970 69.175
612.866100 69.175
617.307180 69.175
621.780442 69.175
626.286120 69.175
630.824447 69.175
635.395661 69.175
640.000000 69.175
644.637704 69.175
649.309014 69.175
654.014175 69.175
658.753431 69.175
663.527030 69.175
668.335221 69.175
673.178253 69.175
678.056380 69.175
682.969856 69.175
687.918938 69.175
692.903882 69.175
697.924949 69.175
702.982401 69.175
708.076501 69.175
713.207515 69.175
718.375711 69.175
723.581357 69.175
728.824726 69.175
734.106091 69.175
739.425726 69.175
744.783910 69.175
750.180921 69.175
755.617041 69.175
761.092554 69.175
766.607744 69.175
772.162900 69.175
777.758310 69.175
783.394268 69.175
789.071066 69.175
794.789000 69.175
800.548368 69.175
806.349472 69.175
812.192613 69.175
818.078095 69.175
824.006226 69.175
829.977315 69.175
835.991673 69.175
842.049613 69.175
848.151452 69.175
854.297507 69.175
860.488099 69.175
866.723550 69.175
873.004186 69.175
879.330334 69.175
885.702324 69.175
892.120489 69.175
898.585161 69.175
905.096680 69.175
911.655384 69.175
918.261614 69.175
924.915716 69.175
931.618037 69.175
938.368925 69.175
945.168733 69.175
952.017816 69.175
958.916529 69.175
965.865234 69.175
972.864291 69.175
979.914067 69.175
987.014928 69.175
994.167245 69.175
1001.371391 69.175
1008.627741 69.175
1015.936673 69.175
1023.298569 69.175
1030.713812 69.175
1038.182790 69.175
1045.705890 69.175
1053.283506 69.175
1060.916032 69.175
1068.603867 69.175
1076.347412 69.175
1084.147069 69.174
1092.003245 69.174
1099.916351 69.174
1107.886798 69.174
1115.915003 69.174
1124.001383 69.174
1132.146360 69.174
1140.350359 69.174
1148.613808 69.174
1156.937137 69.174
1165.320781 69.174
1173.765175 69.174
1182.270762 69.174
1190.837983 69.174
1199.467286 69.174
1208.159120 69.174
1216.913939 69.174
1225.732199 69.174
1234.614360 69.174
1243.560885 69.174
1252.572239 69.174
1261.648894 69.174
1270.791322 69.174
1280.000000 69.174
1289.275408 69.174
1298.618029 69.174
1308.028350 69.174
1317.506863 69.174
1327.054061 69.174
1336.670442 69.174
1346.356507 69.174
1356.112761 69.174
1365.939713 69.174
1375.837875 69.174
1385.807763 69.174
1395.849898 69.174
1405.964802 69.174
1416.153002 69.174
1426.415031 69.174
1436.751422 69.174
1447.162715 69.174
1457.649452 69.174
1468.212181 69.174
1478.851452 69.174
1489.567819 69.174
1500.361842 69.174
1511.234082 69.174
1522.185107 69.174
1533.215488 69.174
1544.325799 69.174
1555.516621 69.174
1566.788535 69.174
1578.142131 69.174
1589.577999 69.174
1601.096737 69.174
1612.698944 69.174
1624.385225 69.174
1636.156190 69.174
1648.012452 69.174
1659.954630 69.174
1671.983345 69.174
1684.099226 69.174
1696.302903 69.174
1708.595013 69.174
1720.976197 69.174
1733.447100 69.174
1746.008372 69.174
1758.660669 69.174
1771.404649 69.174
1784.240977 69.174
1797.170323 69.174
1810.193360 69.174
1823.310767 69.174
1836.523229 69.174
1849.831433 69.174
1863.236074 69.174
1876.737851 69.174
1890.337467 69.174
1904.035631 69.174
1917.833058 69.174
1931.730467 69.174
1945.728583 69.174
1959.828134 69.174
1974.029857 69.174
1988.334491 69.174
2002.742782 69.174
2017.255482 69.174
2031.873347 69.174
2046.597138 69.174
2061.427625 69.174
2076.365579 69.174
2091.411780 69.174
2106.567012 69.174
2121.832065 69.174
2137.207735 69.174
2152.694823 69.174
2168.294137 69.174
2184.006490 69.174
2199.832702 69.174
2215.773596 69.174
2231.830005 69.174
2248.002765 69.174
2264.292720 69.174
2280.700718 69.174
2297.227616 69.174
2313.874274 69.174
2330.641561 69.174
2347.530351 69.174
2364.541523 69.174
2381.675966 69.174
2398.934572 69.174
2416.318240 69.174
2433.827878 69.174
2451.464399 69.174
2469.228720 69.174
2487.121769 69.174
2505.144479 69.174
2523.297789 69.174
2541.582644 69.174
2560.000000 69.174
2578.550815 69.174
2597.236057 69.174
2616.056701 69.174
2635.013726 69.174
2654.108121 69.174
2673.340883 69.174
2692.713013 69.174
2712.225522 69.174
2731.879426 69.174
2751.675750 69.174
2771.615527 69.174
2791.699796 69.174
2811.929603 69.174
2832.306004 69.174
2852.830061 69.174
2873.502844 69.174
2894.325430 69.174
2915.298905 69.174
2936.424363 69.174
2957.702904 69.174
2979.135638 69.174
3000.723683 69.174
3022.468164 69.174
3044.370214 69.174
3066.430976 69.174
3088.651599 69.174
3111.033242 69.174
3133.577071 69.174
3156.284262 69.174
3179.155999 69.174
3202.193474 69.174
3225.397888 69.174
3248.770450 69.174
3272.312380 69.174
3296.024905 69.174
3319.909260 69.174
3343.966691 69.174
3368.198452 69.174
3392.605806 69.174
3417.190027 69.174
3441.952394 69.174
3466.894200 69.174
3492.016745 69.174
3517.321337 69.174
3542.809298 69.174
3568.481954 69.174
3594.340646 69.174
3620.386720 69.174
3646.621534 69.174
3673.046457 69.174
3699.662866 69.174
3726.472148 69.174
3753.475701 69.174
3780.674934 69.174
3808.071263 69.174
3835.666117 69.174
3863.460935 69.174
3891.457165 69.174
3919.656268 69.174
3948.059713 69.174
3976.668981 69.174
4005.485564 69.174
4034.510963 69.174
4063.746693 69.174
4093.194277 69.174
4122.855250 69.174
4152.731158 69.174
4182.823560 69.174
4213.134024 69.174
4243.664130 69.174
4274.415470 69.174
4305.389646 69.174
4336.588274 69.174
4368.012981 69.174
4399.665403 69.174
4431.547192 69.174
4463.660010 69.174
4496.005531 69.174
4528.585440 69.174
4561.401437 69.174
4594.455232 69.174
4627.748549 69.174
4661.283122 69.174
4695.060701 69.174
4729.083046 69.174
4763.351932 69.174
4797.869143 69.174
4832.636481 69.174
4867.655757 69.174
4902.928797 69.174
4938.457440 69.174
4974.243539 69.174
5010.288958 69.174
5046.595577 69.174
5083.165289 69.174
5120.000000 69.174
5157.101631 69.174
5194.472115 69.174
5232.113401 69.174
5270.027452 69.174
5308.216243 69.174
5346.681766 69.174
5385.426026 69.174
5424.451043 69.174
5463.758851 69.174
5503.351500 69.174
5543.231054 69.174
5583.399591 69.174
5623.859206 69.174
5664.612008 69.174
5705.660122 69.174
5747.005687 69.174
5788.650860 69.174
5830.597810 69.174
5872.848725 69.174
5915.405808 69.174
5958.271277 69.174
6001.447367 69.174
6044.936328 69.174
6088.740429 69.174
6132.861952 69.174
6177.303198 69.174
6222.066483 69.174
6267.154142 69.174
6312.568524 69.174
6358.311998 69.174
6404.386948 69.174
6450.795775 69.174
6497.540901 69.174
6544.624761 69.174
6592.049809 69.174
6639.818520 69.174
6687.933382 69.174
6736.396904 69.174
6785.211613 69.174
6834.380053 69.174
6883.904789 69.174
6933.788400 69.174
6984.033489 69.174
7034.642675 69.174
7085.618596 69.174
7136.963909 69.174
7188.681291 69.174
7240.773439 69.174
7293.243069 69.174
7346.092914 69.174
7399.325732 69.174
7452.944296 69.174
7506.951403 69.174
7561.349867 69.174
7616.142525 69.174
7671.332234 69.174
7726.921869 69.174
